County,WeekStartDate,Deaths,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Asotin County,2020-03-15,1,0,0,0,1,0,0,2020/05/12 13:29:40
Asotin County,2020-04-05,1,0,0,0,0,1,0,2020/05/12 13:29:40
Benton County,2020-03-01,3,0,0,0,1,2,0,2020/05/12 13:29:40
Benton County,2020-03-08,4,0,0,0,3,1,0,2020/05/12 13:29:40
Benton County,2020-03-15,8,0,0,0,5,3,0,2020/05/12 13:29:40
Benton County,2020-03-22,14,0,0,0,3,11,0,2020/05/12 13:29:40
Benton County,2020-03-29,8,0,0,1,4,3,0,2020/05/12 13:29:40
Benton County,2020-04-05,2,0,0,0,0,2,0,2020/05/12 13:29:40
Benton County,2020-04-12,1,0,0,0,0,1,0,2020/05/12 13:29:40
Benton County,2020-04-19,8,0,0,0,3,5,0,2020/05/12 13:29:40
Benton County,2020-04-26,5,0,0,0,3,2,0,2020/05/12 13:29:40
Chelan County,2020-03-08,1,0,0,0,0,1,0,2020/05/12 13:29:40
Chelan County,2020-03-15,2,0,0,0,0,2,0,2020/05/12 13:29:40
Chelan County,2020-03-22,1,0,0,0,0,1,0,2020/05/12 13:29:40
Chelan County,2020-03-29,1,0,0,0,0,1,0,2020/05/12 13:29:40
Chelan County,2020-04-26,1,0,0,1,0,0,0,2020/05/12 13:29:40
Clark County,2020-02-23,2,0,0,0,1,1,0,2020/05/12 13:29:40
Clark County,2020-03-01,2,0,0,0,0,2,0,2020/05/12 13:29:40
Clark County,2020-03-08,1,0,0,0,1,0,0,2020/05/12 13:29:40
Clark County,2020-03-15,2,0,0,0,0,2,0,2020/05/12 13:29:40
Clark County,2020-03-22,6,0,0,0,5,1,0,2020/05/12 13:29:40
Clark County,2020-03-29,2,0,0,1,0,1,0,2020/05/12 13:29:40
Clark County,2020-04-05,2,0,0,0,0,2,0,2020/05/12 13:29:40
Clark County,2020-04-12,2,0,0,0,0,2,0,2020/05/12 13:29:40
Clark County,2020-04-19,2,0,0,0,0,2,0,2020/05/12 13:29:40
Douglas County,2020-03-08,1,0,0,0,0,1,0,2020/05/12 13:29:40
Douglas County,2020-04-19,1,0,0,0,1,0,0,2020/05/12 13:29:40
Franklin County,2020-03-22,3,0,0,0,3,0,0,2020/05/12 13:29:40
Franklin County,2020-03-29,2,0,0,1,0,1,0,2020/05/12 13:29:40
Franklin County,2020-04-05,2,0,0,1,1,0,0,2020/05/12 13:29:40
Franklin County,2020-04-12,4,0,0,0,1,3,0,2020/05/12 13:29:40
Franklin County,2020-04-19,4,0,0,1,2,1,0,2020/05/12 13:29:40
Franklin County,2020-04-26,1,0,0,0,1,0,0,2020/05/12 13:29:40
Grant County,2020-02-23,1,0,0,0,0,1,0,2020/05/12 13:29:40
Grant County,2020-03-15,1,0,0,0,1,0,0,2020/05/12 13:29:40
Grant County,2020-04-12,1,0,0,1,0,0,0,2020/05/12 13:29:40
Island County,2020-03-08,1,0,0,0,0,1,0,2020/05/12 13:29:40
Island County,2020-03-15,2,0,0,0,0,2,0,2020/05/12 13:29:40
Island County,2020-03-22,6,0,0,0,2,4,0,2020/05/12 13:29:40
King County,2020-02-09,1,0,0,1,0,0,0,2020/05/12 13:29:40
King County,2020-02-16,9,0,0,0,6,3,0,2020/05/12 13:29:40
King County,2020-02-23,27,0,0,3,12,12,0,2020/05/12 13:29:40
King County,2020-03-01,41,0,0,2,21,18,0,2020/05/12 13:29:40
